Dataset,Algorithm,Hyper-parameter name,Hyper-parameter value,Metric name,Metric value,Num clusters
TV News Channel Commercial Detection Dataset,Agglomerative,n_clusters,82.0,DB,1.8232869951694983,82
TV News Channel Commercial Detection Dataset,Agglomerative,n_clusters,82.0,BIC,549830.7731222215,82
TV News Channel Commercial Detection Dataset,Agglomerative,n_clusters,87.0,VRC,3148.001255834198,87
TV News Channel Commercial Detection Dataset,Agglomerative,n_clusters,87.0,Silhouette,0.07116298854229423,87
TV News Channel Commercial Detection Dataset,Agglomerative,n_clusters,87.0,SSE-Elbow,529267.2647310254,87
TV News Channel Commercial Detection Dataset,Agglomerative,n_clusters,87.0,DB,1.8206409982732228,87
TV News Channel Commercial Detection Dataset,Agglomerative,n_clusters,87.0,BIC,539859.4516337366,87
TV News Channel Commercial Detection Dataset,Agglomerative,n_clusters,92.0,VRC,3040.609282607986,92
TV News Channel Commercial Detection Dataset,Agglomerative,n_clusters,92.0,Silhouette,0.07173615415789164,92
TV News Channel Commercial Detection Dataset,Agglomerative,n_clusters,92.0,SSE-Elbow,520770.60612544464,92
TV News Channel Commercial Detection Dataset,Agglomerative,n_clusters,92.0,DB,1.852377988525308,92
TV News Channel Commercial Detection Dataset,Agglomerative,n_clusters,92.0,BIC,531971.8653548594,92
TV News Channel Commercial Detection Dataset,Agglomerative,n_clusters,97.0,VRC,2943.3036572337087,97
TV News Channel Commercial Detection Dataset,Agglomerative,n_clusters,97.0,Silhouette,0.0731561640031559,97
TV News Channel Commercial Detection Dataset,Agglomerative,n_clusters,97.0,SSE-Elbow,511299.4709264029,97
TV News Channel Commercial Detection Dataset,Agglomerative,n_clusters,97.0,DB,1.8483774631188157,97
TV News Channel Commercial Detection Dataset,Agglomerative,n_clusters,97.0,BIC,523109.96077814774,97
TV News Channel Commercial Detection Dataset,K-Means,n_clusters,1.0,VRC,NaN,1
TV News Channel Commercial Detection Dataset,K-Means,n_clusters,1.0,Silhouette,NaN,1
TV News Channel Commercial Detection Dataset,K-Means,n_clusters,1.0,SSE-Elbow,3244083.0288845794,1
TV News Channel Commercial Detection Dataset,K-Means,n_clusters,1.0,DB,NaN,1
TV News Channel Commercial Detection Dataset,K-Means,n_clusters,1.0,BIC,3244193.8259727852,1
TV News Channel Commercial Detection Dataset,K-Means,n_clusters,2.0,VRC,27269.592363346284,2
